"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
017000,5,,4,,92,,5,,90,,5,,89,,4,,91,,84,,665,,19,,
017009,4,,4,,91,,4,,86,,4,,84,,4,,90,,84,,292,,32,,
017013,5,,4,,92,,5,,93,,5,,88,,4,,90,,84,,203,,31,,
017014,5,,4,,92,,5,,89,,5,,88,,4,,89,,86,,148,,28,,
017016,4,,3,,89,,4,,88,,4,,87,,3,,85,,78,,152,,26,,
017018,5,,5,,93,,5,,91,,4,,87,,4,,93,,85,,360,,25,,
017020,5,,4,,92,,5,,90,,5,,88,,4,,91,,85,,340,,24,,
017024,4,,4,,91,,5,,89,,4,,86,,4,,90,,83,,432,,26,,
017025,4,,4,,91,,4,,85,,3,,83,,4,,87,,87,,289,,21,,
017026,3,,3,,89,,4,,86,,3,,82,,3,,86,,77,,285,,18,,
017027,5,,4,,92,,5,,90,,5,,90,,4,,89,,80,,516,,26,,
017034,5,,5,,94,,5,,93,,4,,87,,4,,91,,88,,167,,18,,
017035,4,,3,,88,,4,,84,,4,,86,,3,,84,,78,,379,,20,,
017037,4,,3,,90,,4,,86,,4,,87,,4,,88,,76,,155,,25,,
017039,4,,3,,89,,5,,88,,3,,82,,3,,88,,79,,368,,22,,
017048,5,,5,,96,,5,,94,,5,,90,,4,,92,,92,,132,,30,,
017050,3,11,3,11,89,11,4,11,85,11,3,11,79,11,3,11,86,11,83,11,40,11,31,11,11
017051,4,,4,,89,,4,,87,,3,,82,,3,,84,,79,,310,,19,,
017052,4,,4,,91,,4,,89,,3,,83,,4,,89,,83,,295,,31,,
017053,5,,4,,91,,5,,89,,5,,88,,4,,89,,87,,305,,32,,
017054,4,,4,,92,,5,,92,,3,,83,,4,,88,,83,,260,,19,,
017055,4,,4,,91,,4,,88,,3,,83,,4,,88,,83,,312,,24,,
017058,4,,4,,92,,4,,88,,4,,84,,4,,91,,87,,359,,28,,
017063,4,11,4,11,92,11,4,11,89,11,3,11,83,11,3,11,90,11,80,11,52,11,25,11,11
017066,4,,4,,90,,5,,87,,4,,84,,4,,88,,81,,309,,28,,
017069,4,,4,,91,,5,,90,,4,,87,,4,,89,,85,,321,,29,,
017070,4,,4,,92,,5,,89,,4,,85,,4,,90,,83,,148,,23,,
017071,5,,4,,92,,5,,91,,4,,85,,5,,91,,85,,327,,26,,
017072,5,,5,,93,,5,,95,,3,,80,,5,,95,,83,,92,,24,,
017078,5,,4,,92,,5,,92,,5,,90,,5,,95,,86,,129,,30,,
017079,5,,5,,95,,5,,94,,5,,93,,5,,98,,96,,99,,36,,
017080,5,,5,,92,,5,,90,,5,,90,,4,,87,,83,,218,,23,,
017082,4,,4,,90,,4,,86,,2,,78,,4,,90,,72,,77,,14,,
017084,4,,4,,92,,5,,91,,4,,87,,4,,89,,80,,96,,21,,
017085,4,,4,,92,,5,,89,,4,,85,,4,,89,,78,,160,,25,,
017086,4,11,4,11,92,11,4,11,88,11,5,11,95,11,4,11,87,11,82,11,66,11,28,11,11
017088,5,,5,,93,,5,,89,,5,,91,,5,,92,,87,,160,,35,,
017089,5,,5,,92,,5,,89,,4,,85,,4,,89,,85,,214,,31,,
017090,5,,5,,94,,5,,93,,5,,93,,4,,91,,91,,110,,25,,
017091,5,11,5,11,94,11,4,11,90,11,5,11,91,11,5,11,87,11,89,11,68,11,35,11,11
017092,5,11,4,11,92,11,5,11,92,11,5,11,90,11,5,11,95,11,90,11,65,11,34,11,11
017093,5,,4,,92,,5,,93,,5,,89,,4,,91,,78,,110,,24,,
017094,5,,5,,96,,5,,94,,5,,90,,5,,96,,93,,133,,25,,
017095,4,,4,,90,,4,,86,,4,,84,,3,,84,,80,,143,,24,,
017096,4,,4,,90,,5,,91,,4,,86,,4,,87,,82,,162,,26,,
017097,4,,3,,88,,5,,92,,4,,87,,4,,93,,86,,71,,31,,
017100,5,,5,,96,,5,,93,,5,,88,,5,,94,,92,,98,,32,,
017103,Not Available,11,Not Available,11,97,11,Not Available,11,87,11,Not Available,11,84,11,Not Available,11,90,11,87,11,34,11,26,11,11
017104,5,,5,,94,,5,,92,,4,,87,,5,,94,,87,,95,,31,,
017106,4,11,5,11,96,11,5,11,91,11,2,11,78,11,5,11,97,11,92,11,46,11,31,11,11
017107,4,,4,,89,,4,,88,,5,,92,,3,,87,,78,,154,,24,,
017109,Not Available,11,Not Available,11,99,11,Not Available,11,98,11,Not Available,11,97,11,Not Available,11,99,11,100,11,33,11,35,11,11
017112,5,,5,,94,,5,,93,,5,,89,,4,,94,,94,,71,,23,,
017115,5,,4,,91,,5,,90,,5,,89,,4,,90,,77,,149,,30,,
017116,5,,5,,92,,5,,89,,4,,85,,4,,91,,88,,287,,36,,
017117,4,,4,,90,,5,,91,,3,,83,,3,,85,,84,,189,,38,,
017118,5,,4,,92,,5,,92,,5,,88,,4,,92,,81,,144,,23,,
017119,4,,4,,89,,4,,85,,4,,86,,3,,85,,76,,500,,25,,
017121,5,,5,,93,,5,,89,,5,,89,,4,,88,,85,,163,,32,,
017123,4,,4,,91,,4,,86,,4,,86,,4,,88,,86,,141,,24,,
017124,4,,4,,92,,5,,92,,4,,85,,4,,91,,87,,105,,38,,
017125,4,,4,,91,,5,,90,,4,,85,,4,,88,,81,,294,,26,,
017128,5,,5,,94,,5,,92,,5,,89,,5,,93,,89,,465,,29,,
017129,5,,5,,93,,5,,91,,5,,89,,4,,91,,86,,262,,27,,
017132,4,,4,,92,,5,,92,,2,,74,,4,,91,,81,,78,,18,,
017134,5,,4,,92,,5,,91,,5,,88,,4,,89,,87,,352,,30,,
017135,5,,5,,96,,5,,97,,5,,93,,5,,94,,92,,81,,28,,
017136,3,11,2,11,84,11,3,11,86,11,5,11,88,11,3,11,84,11,78,11,53,11,30,11,11
017138,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017142,5,,5,,92,,4,,88,,5,,88,,4,,87,,83,,111,,22,,
017143,5,,4,,91,,5,,90,,5,,91,,5,,93,,84,,139,,28,,
017145,5,,4,,92,,5,,89,,5,,89,,4,,91,,82,,299,,23,,
017146,Not Available,11,Not Available,11,99,11,Not Available,11,93,11,Not Available,11,91,11,Not Available,11,93,11,83,11,28,11,28,11,11
017147,5,,5,,92,,5,,87,,4,,85,,4,,91,,80,,113,,27,,
017148,4,,4,,90,,5,,88,,4,,84,,4,,88,,83,,303,,24,,
017149,4,,4,,90,,4,,88,,4,,85,,4,,91,,84,,274,,19,,
017151,5,,5,,93,,5,,91,,5,,88,,5,,95,,92,,153,,27,,
017152,5,,5,,96,,5,,92,,5,,91,,5,,92,,92,,80,,24,,
017153,5,,5,,93,,5,,91,,4,,86,,4,,93,,83,,311,,21,,
017154,4,,3,,89,,4,,86,,3,,82,,4,,90,,82,,121,,21,,
017155,4,,4,,92,,4,,88,,5,,89,,4,,89,,84,,332,,29,,
017157,4,,4,,91,,5,,89,,4,,86,,4,,90,,83,,135,,21,,
017158,5,,5,,92,,5,,91,,4,,87,,4,,90,,86,,286,,27,,
017159,4,,4,,91,,5,,89,,4,,85,,4,,89,,83,,360,,28,,
017160,5,,4,,90,,5,,93,,4,,87,,5,,93,,84,,73,,25,,
017161,3,,3,,89,,4,,85,,3,,81,,3,,84,,78,,216,,20,,
017163,4,,4,,91,,5,,91,,4,,86,,4,,92,,84,,136,,27,,
017164,5,,5,,94,,5,,91,,4,,86,,4,,93,,87,,262,,25,,
017165,5,,5,,94,,5,,90,,4,,86,,5,,93,,88,,265,,25,,
017166,4,,3,,89,,5,,91,,3,,82,,3,,86,,81,,120,,25,,
017167,4,,5,,93,,5,,91,,3,,81,,4,,89,,87,,91,,23,,
017168,4,,4,,89,,4,,87,,5,,88,,4,,89,,71,,176,,21,,
017170,5,,5,,93,,5,,92,,3,,83,,5,,95,,87,,165,,26,,
017171,4,,4,,90,,5,,90,,4,,85,,4,,88,,82,,213,,25,,
017175,4,,3,,88,,4,,86,,4,,86,,3,,84,,79,,280,,26,,
017176,4,,3,,89,,4,,86,,4,,87,,3,,85,,71,,102,,20,,
017177,5,,5,,92,,5,,92,,4,,87,,5,,91,,87,,168,,24,,
017178,4,,4,,92,,5,,91,,3,,82,,4,,90,,83,,354,,24,,
