"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT",NPI,"MULTIPLE NPI FLAG",CCN,"ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT",PROPRIETARY_NONPROFIT,"ADDRESS LINE 1","ADDRESS LINE 2",CITY,STATE,"ZIP CODE","PRACTICE LOCATION TYPE","LOCATION OTHER TYPE TEXT"
O20020806000001,CT,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1457434003,N,077229,6800703877,"ALL ABOUT YOU COLLABORATIVE HEALTH CARE SERVICES.LLC (D.B.A.)","ALL ABOUT YOU HOME CARE SERVICES",2000-11-02,CT,CORPORATION,"",P,"21 CHURCH ST 2","",NAUGATUCK,CT,067704111,"",""
O20020807000006,CA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1962462077,N,058283,4486561453,"MAJESTY HOME HEALTH, INC.","",2001-11-14,CA,CORPORATION,"",P,"18527 ROSCOE BLVD","",NORTHRIDGE,CA,913244632,"HHA BRANCH",""
O20020809000000,VA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1881690550,N,497020,4688581663,"BUCHANAN GENERAL HOSPITAL INC","BUCHANAN GENERAL HOSPITAL HOME HEALTH AGENCY","","",CORPORATION,"",N,"1535 SLATE CREEK RD","",GRUNDY,VA,246149611,"",""
O20020809000002,PA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1386641330,N,397449,0042127029,"ALL CARE HOME CARE INC","ALL CARE HOME CARE",1986-08-20,PA,CORPORATION,"",P,"1710 E BROAD ST","STE B",HAZLETON,PA,182015695,"",""
O20020811000000,GA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1437180767,N,117090,7618884529,"CENTERWELL CERTIFIED HEALTHCARE CORP","CENTERWELL HOME HEALTH",1983-04-19,DE,CORPORATION,"",P,"2280 E VICTORY DR","# B",SAVANNAH,GA,314043957,"",""
O20020813000019,VA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1922090687,N,497417,1951218940,"FIRST CARE HOME HEALTH INC","1ST CARE HOME HEALTH LYNCHBURG",1986-12-09,VA,CORPORATION,"",P,"2808 OLD FOREST RD","",LYNCHBURG,VA,245012338,"",""
O20020815000010,MT,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1730283979,N,277072,7911814926,"ST PETERS HEALTH","ST. PETER'S HEALTH HOME HEALTH AND HOSPICE",1886-06-19,MT,CORPORATION,"",N,"201 S CALIFORNIA ST","",HELENA,MT,596014974,"",""
O20020815000031,AZ,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1619178993,Y,037439,5496662496,"DEPENDABLE NURSES, INC.","",1992-09-24,AZ,CORPORATION,"",P,"2200 E CAMELBACK RD","STE 207",PHOENIX,AZ,850163456,"HHA BRANCH",""
O20020827000003,PA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1861485971,N,397486,8729995675,"HOMEBOUND HEALTH SERVICES INC","",1988-12-27,PA,CORPORATION,"",P,"145N MAIN ST","",SHAVERTOWN,PA,187081122,"",""
O20020827000012,IA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1902805039,N,167292,8628985579,"FAMILY TOUCH HOME HEALTH CARE, LLC","ANGELS CARE HOME HEALTH OF IOWA",2002-04-26,IA,LLC,"",P,"1601 MCPHERSON AVE","STE 500","COUNCIL BLUFFS",IA,515035169,"",""
O20020828000012,PA,00-06,"PART A PROVIDER - HOME HEALTH AGENCY",1659443158,N,397087,7012824972,"UPMC HOME HEALTHCARE OF CENTRAL PENNSYLVANIA","",1966-09-16,PA,CORPORATION,"",N,"20 SHERATON DR","",ALTOONA,PA,166019316,"HHA BRANCH",""
