State Name,County Name,FIPSST,FIPSCNTY,FIPS,SSAST,SSACNTY,SSA,Eligibles,Enrolled,Penetration
Pending State Designation,Pending County Designation,00,000,00000,00,999,00999,"14,940",,
Alabama,Autauga,01,001,01001,01,000,01000,"12,197","7,503",61.52%
Alabama,Baldwin,01,003,01003,01,010,01010,"64,758","37,530",57.95%
Alabama,Barbour,01,005,01005,01,020,01020,"6,637","4,257",64.14%
Alabama,Bibb,01,007,01007,01,030,01030,"4,791","3,305",68.98%
Alabama,Blount,01,009,01009,01,040,01040,"12,945","8,732",67.45%
Alabama,Bullock,01,011,01011,01,050,01050,"2,045","1,681",82.20%
Alabama,Butler,01,013,01013,01,060,01060,"5,015","3,298",65.76%
Alabama,Calhoun,01,015,01015,01,070,01070,"27,959","15,489",55.40%
Alabama,Chambers,01,017,01017,01,080,01080,"9,129","5,987",65.58%
Alabama,Cherokee,01,019,01019,01,090,01090,"7,865","4,723",60.05%
Alabama,Chilton,01,021,01021,01,100,01100,"10,086","7,340",72.77%
Alabama,Choctaw,01,023,01023,01,110,01110,"3,799","2,192",57.70%
Alabama,Clarke,01,025,01025,01,120,01120,"6,357","4,358",68.55%
Alabama,Clay,01,027,01027,01,130,01130,"3,740","2,326",62.19%
Alabama,Cleburne,01,029,01029,01,140,01140,"3,653","1,910",52.29%
Alabama,Coffee,01,031,01031,01,150,01150,"11,706","6,207",53.02%
Alabama,Colbert,01,033,01033,01,160,01160,"14,674","8,261",56.30%
Alabama,Conecuh,01,035,01035,01,170,01170,"3,556","2,274",63.95%
Alabama,Coosa,01,037,01037,01,180,01180,"2,752","2,038",74.06%
Alabama,Covington,01,039,01039,01,190,01190,"10,283","5,881",57.19%
Alabama,Crenshaw,01,041,01041,01,200,01200,"3,744","2,399",64.08%
Alabama,Cullman,01,043,01043,01,210,01210,"21,284","12,521",58.83%
Alabama,Dale,01,045,01045,01,220,01220,"11,595","6,531",56.33%
Alabama,Dallas,01,047,01047,01,230,01230,"9,996","7,057",70.60%
Alabama,DeKalb,01,049,01049,01,240,01240,"16,466","9,314",56.57%
