CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
237495,1681 WOODBRIDGE PARK AVE,LAPEER,MI,48446,,
058085,12440 FIRESTONE BLVD,NORWALK,CA,90650,33.9046406,-118.0686362
058075,1476 W NINTH STREET,UPLAND,CA,91786,,
247019,901 WILLMAR AVE SE,WILLMAR,MN,56201,45.110636,-95.031734
237516,42000 KOPPERNICK RD,CANTON,MI,48187,42.3410453,-83.4548471
058248,1100 N VENTURA RD,OXNARD,CA,93030,34.2133043,-119.1945058
377180,2503 SE WASHINGTON BLVD,BARTLESVILLE,OK,74006,36.7133791,-95.9352075
167192,212 E BOW DR,CHEROKEE,IA,51012,42.762266,-95.5492614
267056,600 NW PRYOR RD,LEES SUMMIT,MO,64081,,
207070,24 SUMMIT LN,YORK,ME,03909,43.1412096,-70.6503492
