CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon,lat_google,lon_google,updated_by_google
058283,18527 ROSCOE BLVD,NORTHRIDGE,CA,91324,34.2210038,-118.5183004,,,False
037439,2200 E CAMELBACK RD,PHOENIX,AZ,85016,33.5099821,-112.033702,,,False
397087,20 SHERATON DR,ALTOONA,PA,16601,40.4582765,-78.41011329999999,40.4582765,-78.41011329999999,True
297099,6325 S RAINBOW BLVD,LAS VEGAS,NV,89118,36.1441557,-115.242824,,,False
058156,1126 N GRAND AVE,COVINA,CA,91724,34.1040638,-117.872679,,,False
167014,1524 SYCAMORE ST,IOWA CITY,IA,52240,41.6435614,-91.5114973,,,False
679301,13510 WINDCHASE CT,HOUSTON,TX,77082,29.7309694,-95.6293047,29.7309694,-95.6293047,True
397012A,240 N RADNOR CHESTER RD,RADNOR,PA,19087,40.0422,-75.3609147,,,False
058042,5751 W ADAMS BLVD,LOS ANGELES,CA,90016,34.0326484,-118.3687727,,,False
058210,3939 ATLANTIC AVE 202,LONG BEACH,CA,90807,33.830115,-118.1853225,33.830115,-118.1853225,True
058100,13363 SATICOY ST,N HOLLYWOOD,CA,91605,34.208619,-118.4241259,,,False
058244,3055 WILSHIRE BLVD,LOS ANGELES,CA,90010,34.0618946,-118.2880976,,,False
077232,305 BOSTON AVE,STRATFORD,CT,06614,41.1927989,-73.1479692,,,False
058148,4375E LOWELL ST I,ONTARIO,CA,91761,34.0536057,-117.5563555,34.0536057,-117.5563555,True
058198,19608 CAMINO DE ROSA,WALNUT,CA,91789,34.0048724,-117.870231,,,False
227067A,434 ROUTE 134,SOUTH DENNIS,MA,02660,41.6907781,-70.1519009,,,False
227465A,88 MASONIC HOME RD,CHARLTON,MA,01507,42.140265,-71.9802348,,,False
227443A,267 AMHERST RD,SUNDERLAND,MA,01375,42.4522944,-72.5644322,,,False
058236,20350 VENTURA BLVD,WOODLAND HILLS,CA,91364,34.1684473,-118.603574,,,False
247219,1299 ARCADE ST,SAINT PAUL,MN,55106,44.9603396,-93.0660119,,,False
058180,22041 CLARENDON ST,WOODLAND HILLS,CA,91367,34.1697248,-118.6068135,,,False
267002,1300 E 104TH ST,KANSAS CITY,MO,64131,38.93901,-94.5758494,,,False
058447,18645 SHERMAN WAY,RESEDA,CA,91335,34.2009777,-118.5399596,,,False
058253,801 S GARFIELD AVE,ALHAMBRA,CA,91801,34.087195,-118.123149,,,False
058262,9029 RESEDA BLVD,NORTHRIDGE,CA,91324,34.2344685,-118.536422,,,False
058217,1109 W SAN BERNARDINO RD,COVINA,CA,91722,34.0893362,-117.9031972,,,False
059030,101 SPRING ST,CLAREMONT,CA,91711,34.093018,-117.716755,,,False
