CCN,ADDRESS LINE 1,CITY,STATE,ZIP CODE,lat,lon
058283,18527 ROSCOE BLVD,NORTHRIDGE,CA,91324,34.2210038,-118.5183004
037439,2200 E CAMELBACK RD,PHOENIX,AZ,85016,33.5099821,-112.033702
397087,20 SHERATON DR,ALTOONA,PA,16601,,
297099,6325 S RAINBOW BLVD,LAS VEGAS,NV,89118,36.1441557,-115.242824
058156,1126 N GRAND AVE,COVINA,CA,91724,34.1040638,-117.872679
167014,1524 SYCAMORE ST,IOWA CITY,IA,52240,41.6435614,-91.5114973
679301,13510 WINDCHASE CT,HOUSTON,TX,77082,,
397012A,240 N RADNOR CHESTER RD,RADNOR,PA,19087,40.0422,-75.3609147
058042,5751 W ADAMS BLVD,LOS ANGELES,CA,90016,34.0326484,-118.3687727
058210,3939 ATLANTIC AVE 202,LONG BEACH,CA,90807,,
